      # name ref Mv logRe logM* logSigma_e
     C-3-23  4 -14.9  3.043  8.252  1.367
     C-2-24  4 -14.9  2.931  8.204  1.544
     C-2-25  4 -14.8  2.967  8.221  1.490
     C-4-26  4 -14.4  3.020  8.028  1.190
     C-2-27  4 -14.2  2.958  7.973  1.258
     C-3-28  4 -14.0  2.977  7.853  1.101
     C-4-29  4 -13.8  3.076  7.772  0.823
     C-6-31  4 -13.6  2.958  7.720  1.005
     C-3-32  4 -13.3  2.641  7.646  1.566
     C-4-33  4 -13.3  3.097  7.606  0.614
     C-2-34  4 -13.3  2.885  7.557  0.989
     C-2-35  4 -13.2  3.016  7.548  0.717
     C-1-36  4 -13.1  2.870  7.481  0.943
     C-2-37  4 -13.1  2.698  7.509  1.314
     C-1-38  4 -13.1  2.964  7.485  0.760
     C-4-39  4 -13.0  2.815  7.464  1.036
     C-3-40  4 -12.7  2.721  7.366  1.126
     C-5-41  4 -12.7  2.920  7.323  0.685
     C-1-42  4 -12.7  2.921  7.315  0.675
     C-3-43  4 -12.6  2.916  7.312  0.681
     C-7-44  4 -12.6  2.895  7.239  0.650
     C-5-45  4 -12.5  2.772  7.265  0.923
     C-1-46  4 -12.5  2.825  7.264  0.815
     C-4-48  4 -12.5  2.635  7.212  1.144
     C-3-49  4 -12.4  3.015  7.320  0.491
     C-3-50  4 -12.4  2.861  7.197  0.677
     C-2-51  4 -12.3  2.791  7.162  0.781
     C-5-52  4 -12.2  2.952  7.252  0.550
     C-5-53  4 -12.1  2.779  7.120  0.765
     C-4-54  4 -12.1  2.919  7.124  0.488
     C-6-55  4 -12.1  2.617  7.074  1.043
     C-7-56  4 -12.0  3.123  7.038 -0.008
     C-4-57  4 -12.0  2.957  7.011  0.298
     C-3-58  4 -11.9  2.866  7.027  0.496
     C-3-59  4 -11.9  2.639  6.991  0.915
     C-1-60  4 -11.8  2.980  6.960  0.202
     C-2-61  4 -11.8  3.142  6.988 -0.095
     C-6-62  4 -11.8  2.635  6.949  0.882
     C-2-63  4 -11.7  2.739  6.978  0.703
     C-4-64  4 -11.5  2.938  6.908  0.234
     C-4-65  4 -11.4  2.796  6.852  0.462
     C-1-66  4 -11.4  2.870  6.795  0.257
     C-3-67  4 -11.3  2.756  6.892  0.583
     C-5-68  4 -11.3  2.894  6.796  0.210
     C-3-69  4 -11.1  2.788  6.697  0.323
     C-6-70  4 -11.0  2.541  6.630  0.749
     C-4-71  4 -11.0  2.803  6.664  0.259
     C-3-72  4 -10.9  2.643  6.665  0.580
