      # name ref Mv logRe logM* logSigma_e
       1231  8  -5.6  0.168  4.474  3.339
       1231  8  -7.6  0.476  5.274  3.524
       1231  8  -6.4  0.429  5.005  3.350
       1231  8  -6.9  0.367  5.212  3.681
       1231  8  -8.1  0.712  5.523  3.301
       1231  8  -6.5  0.341  5.104  3.625
       1231  8  -6.5  0.440  4.852  3.175
       1231  8  -8.0  0.489  5.571  3.795
       1231  8  -7.7  0.352  5.502  3.999
       1231  8  -7.9  0.530  5.437  3.578
       1231  8  -8.4  0.367  5.609  4.077
       1231  8  -8.4  0.502  5.690  3.888
       1231  8  -7.3  0.607  5.337  3.325
       1231  8  -6.6  0.387  4.908  3.337
       1231  8 -10.1  0.374  6.514  4.967
       1231  8  -7.2  0.427  5.290  3.637
       1231  8  -7.2  0.396  5.435  3.846
       1231  8  -6.5  0.376  4.905  3.354
       1231  8  -9.3  0.365  6.025  4.497
       1231  8  -8.1  0.330  5.494  4.035
       1231  8  -6.6  0.313  5.054  3.630
       1231  8 -10.1  0.440  6.314  4.635
       1231  8  -8.0  0.605  5.523  3.515
       1231  8  -7.5  0.465  5.278  3.549
       1231  8  -7.7  0.321  5.424  3.984
       1231  8  -8.0  0.882  5.708  3.146
       1231  8  -5.5  0.420  4.544  2.905
       1231  8  -6.7  0.302  5.030  3.629
       1231  8  -7.9  0.623  5.391  3.346
       1231  8  -8.8  0.468  5.833  4.098
       1231  8  -7.9  0.352  5.426  3.925
       1231  8  -7.6  0.456  5.611  3.900
       1231  8  -8.3  0.515  5.623  3.795
       1231  8  -7.5  0.608  5.608  3.593
       1231  8  -7.6  0.389  5.312  3.737
       1231  8  -6.1  0.526  4.911  3.060
       1231  8  -7.2  0.519  5.176  3.340
       1231  8  -7.8  0.337  5.695  4.222
       1231  8  -9.0  0.512  5.875  4.053
       1231  8  -6.9  0.490  5.052  3.274
       1231  8  -6.7  0.279  5.152  3.795
       1231  8  -7.4  0.345  5.631  4.142
       1231  8  -5.5  0.472  4.457  2.714
       1231  8  -9.9  0.637  6.308  4.236
       1231  8  -8.8  0.432  6.096  4.434
       1231  8  -7.8  0.586  5.364  3.394
       1231  8  -6.4  0.440  4.931  3.254
       1231  8  -7.9  0.421  5.593  3.952
       1231  8  -8.0  0.287  5.478  4.105
       1231  8  -8.0  0.023  5.451  4.608
       1231  8  -6.1  0.411  4.674  3.054
       1231  8  -8.7  0.474  5.935  4.190
       1231  8  -7.5  0.757  5.362  3.049
       1231  8  -5.5  0.302  4.479  3.076
       1231  8  -6.2  0.591  4.717  2.737
       1231  8  -9.3  0.326  6.145  4.695
       1231  8  -6.6  0.643  4.889  2.805
       1231  8  -6.8  0.535  4.961  3.093
       1231  8  -7.8  0.725  5.824  3.575
       1231  8  -8.5  0.403  5.728  4.123
       1231  8  -7.6  0.485  5.274  3.507
       1231  8  -6.2  0.683  5.221  3.058
       1231  8  -8.9  0.453  5.812  4.109
       1231  8  -8.3  0.387  5.797  4.225
       1231  8  -9.2  0.373  6.016  4.471
       1231  8  -6.0  0.515  4.819  2.990
       1231  8  -6.3  0.544  5.202  3.316
       1231  8  -7.4  0.256  5.423  4.113
       1231  8  -6.4  0.550  4.891  2.994
       1231  8  -8.9  0.434  6.025  4.360
       1231  8  -8.3  0.472  5.577  3.835
       1231  8  -6.8  0.369  5.133  3.596
       1231  8  -6.3  0.585  4.791  2.823
       1231  8  -8.7  0.438  5.786  4.112
       1231  8  -8.7  0.051  5.694  4.793
       1231  8  -8.4  0.550  5.707  3.809
       1231  8  -5.5  0.590  4.713  2.736
       1231  8  -8.0  0.276  5.692  4.343
       1231  8  -9.4  0.420  6.073  4.434
       1231  8  -7.4  0.267  5.270  3.938
       1231  8  -6.7  0.247  4.940  3.648
       1231  8  -6.7  0.286  4.958  3.588
       1231  8  -8.2  0.462  5.724  4.002
       1231  8  -6.9  0.822  5.481  3.038
       1231  8  -8.0  0.433  5.484  3.821
       1231  8  -7.6  0.381  5.452  3.893
       1231  8  -8.4  0.494  5.607  3.821
       1231  8 -10.1  0.803  6.351  3.946
       1231  8  -8.6  0.778  5.747  3.392
       1231  8  -7.9  0.404  5.636  4.030
       1231  8  -8.3  0.643  5.566  3.481
       1231  8 -10.2  0.677  6.362  4.209
       1231  8  -7.6  0.396  5.576  3.986
       1231  8  -9.3  0.578  6.266  4.311
       1231  8  -8.2  0.611  5.565  3.546
       2095  8 -11.3  0.616  6.834  4.804
       2095  8  -8.4  0.438  5.586  3.911
       2095  8  -7.8  0.339  5.484  4.008
       2095  8  -8.1  0.422  5.487  3.845
       2095  8  -8.8  0.386  5.933  4.363
       2095  8  -6.9  0.499  5.285  3.489
       2095  8  -8.1  0.494  5.551  3.766
       2095  8  -7.3  0.475  5.357  3.609
       2095  8  -7.5  0.492  5.401  3.619
       2095  8  -8.1  0.512  5.492  3.670
       2095  8  -7.3  0.339  5.162  3.686
       2095  8  -7.5  0.408  5.306  3.692
       2095  8  -7.8  0.250  5.376  4.078
       2095  8  -6.6  0.417  5.072  3.440
       2095  8  -7.8  0.508  5.407  3.593
       2095  8  -7.2  0.397  5.162  3.570
       2095  8  -8.1  0.351  5.545  4.045
       2095  8  -7.3  0.403  5.274  3.670
       2095  8  -5.3  0.341  4.615  3.136
       2095  8  -9.2  0.470  6.086  4.348
       2095  8  -5.7  0.419  4.725  3.089
       2095  8  -9.0  0.501  5.881  4.081
       2095  8  -5.9  0.461  4.629  2.909
       2095  8  -5.2  0.477  4.406  2.655
       2095  8  -7.3  0.509  5.249  3.432
       2095  8  -7.5  0.391  5.409  3.829
       2095  8  -7.3  0.397  5.190  3.598
       2095  8  -7.6  0.464  5.500  3.775
       2095  8  -5.7  0.249  4.579  3.283
       2095  8  -6.7  0.414  4.896  3.270
       2095  8  -5.4  0.537  4.512  2.640
       2095  8  -7.5  0.467  5.207  3.474
       2095  8  -5.5  0.585  4.753  2.784
       2095  8  -6.3  0.375  4.925  3.377
       2095  8  -8.1  0.399  5.438  3.842
       2095  8  -7.0  0.490  5.041  3.263
       2095  8 -10.5  0.489  6.511  4.734
       2095  8  -6.6  0.311  5.101  3.681
       2095  8  -6.3  0.584  5.084  3.118
       2095  8  -7.9  0.427  5.692  4.039
       2095  8  -7.3  0.483  5.275  3.510
       2095  8  -7.7  0.433  5.387  3.723
       2095  8  -7.1  0.391  5.114  3.533
       2095  8  -6.1  0.550  4.734  2.837
       2095  8  -6.5  0.506  4.900  3.090
       2095  8  -7.3  0.435  5.258  3.590
       2095  8  -7.1  0.233  5.314  4.050
       2095  8  -5.4  0.520  4.411  2.574
       2095  8  -7.5  0.506  5.313  3.503
       2095  8  -8.3  0.865  5.876  3.348
       2095  8  -7.0  0.621  5.065  3.025
       2095  8  -5.6  0.420  4.503  2.865
       2095  8  -5.2  0.483  4.499  2.734
       2095  8  -8.9  0.362  5.832  4.311
       2095  8  -8.6  0.180  5.825  4.666
       2095  8  -8.6  0.450  5.966  4.268
       2095  8  -6.1  0.436  4.820  3.149
       2095  8  -8.9  0.435  6.037  4.369
       2095  8  -7.5  0.414  5.308  3.681
       2095  8  -6.8  0.581  5.302  3.342
       2095  8  -7.5  0.486  5.206  3.435
       2095  8  -7.2  0.496  5.198  3.407
       2095  8  -8.8  0.402  5.789  4.187
       2095  8  -8.0  0.430  5.560  3.902
       2095  8  -8.7  0.349  5.930  4.433
       2095  8  -6.3  0.621  4.845  2.805
       2095  8  -6.6  0.542  4.909  3.026
       2095  8  -7.0  0.385  5.178  3.610
       2095  8  -5.6  0.455  4.567  2.859
       2095  8  -9.5  0.442  6.088  4.406
       2095  8  -8.6  0.501  5.748  3.947
       2095  8  -7.9  0.189  5.495  4.318
       2095  8  -8.3  0.398  5.702  4.107
       2095  8  -6.1  0.340  4.686  3.208
       2095  8 -10.0  0.362  6.304  4.781
       2095  8  -8.5  0.523  5.638  3.793
       2095  8  -9.8  0.504  6.248  4.442
       2095  8  -8.2  0.538  5.596  3.721
       2095  8  -7.5  0.545  5.349  3.462
       2095  8  -6.4  0.686  5.005  2.835
       2095  8  -7.6  0.679  5.548  3.392
       2095  8  -5.4  0.267  4.479  3.147
       2095  8  -5.2  0.384  4.518  2.951
       2095  8  -6.4  0.579  4.863  2.906
       2095  8  -6.1  0.709  5.188  2.972
       2095  8  -8.4  0.645  5.615  3.526
       2095  8  -7.9  0.535  5.480  3.612
       2095  8  -7.1  0.563  5.078  3.155
       2095  8  -5.8  0.543  4.755  2.872
       2095  8  -6.9  0.220  4.993  3.755
       2095  8  -6.6  0.608  4.978  2.963
       2095  8 -10.0  0.384  6.304  4.737
       2095  8  -6.5  0.114  5.169  4.142
       2095  8  -5.8  0.522  4.701  2.858
       2095  8  -8.7  0.664  5.716  3.589
       2095  8  -7.5  0.469  5.285  3.549
       2095  8  -5.3  0.460  4.617  2.899
       2095  8  -7.9  0.383  5.394  3.830
       2095  8  -7.2  0.414  5.134  3.508
       2095  8  -6.6  0.604  4.884  2.878
       2095  8  -5.8  0.569  4.588  2.651
       2095  8  -6.0  0.513  4.627  2.803
       2095  8  -9.2  0.454  6.002  4.295
       2095  8  -5.8  0.365  4.530  3.003
       2095  8  -8.0  0.436  5.451  3.780
       2095  8  -6.7  0.371  5.066  3.525
       2095  8  -5.5  0.437  4.903  3.230
       2095  8  -9.1  0.319  6.001  4.564
       2095  8  -5.3  0.530  4.656  2.797
       2095  8  -6.3  0.549  4.801  2.905
       2095  8  -9.3  0.334  6.066  4.600
       2095  8  -6.6  0.605  5.280  3.271
       2095  8  -6.7  0.663  4.921  2.796
       2095  8  -7.5  0.555  5.359  3.450
       2095  8  -6.1  0.502  4.661  2.858
       2095  8  -6.8  0.376  4.919  3.368
       2095  8  -5.4  0.487  4.678  2.906
       2095  8  -9.1  0.332  5.967  4.505
       2095  8  -6.7  0.409  5.049  3.432
       2095  8  -8.4  0.434  5.622  3.956
       2095  8 -10.6  0.390  6.501  4.923
       2095  8  -5.5  0.377  4.670  3.118
       2095  8  -5.9  0.532  4.641  2.779
       2095  8  -8.7  0.473  5.708  3.964
       2095  8  -6.9  0.435  4.977  3.309
       2095  8  -8.4  0.121  5.944  4.904
       2095  8  -5.7  0.367  4.470  2.938
       2095  8  -9.5  0.591  6.028  4.047
       2095  8  -7.1  0.545  5.310  3.422
       2095  8  -7.4  0.415  5.195  3.567
       2095  8  -6.0  0.532  4.685  2.823
       2095  8  -8.3  0.499  5.558  3.763
       2095  8  -7.9  0.518  5.536  3.702
       2095  8  -7.0  0.555  5.080  3.172
       1154  8  -7.3  0.598  5.388  3.394
       1154  8  -8.9  0.391  5.806  4.225
       1154  8  -7.1  0.415  5.204  3.576
       1154  8  -7.3  0.311  5.266  3.846
       1154  8  -9.0  0.337  6.032  4.560
       1154  8  -6.7  0.682  5.136  2.974
       1154  8  -7.7  0.248  5.482  4.188
       1154  8  -7.0  0.530  5.253  3.395
       1154  8  -7.0  0.679  5.463  3.307
       1154  8  -9.5  0.337  6.151  4.678
       1154  8  -7.2  0.275  5.425  4.077
       1154  8  -6.8  0.319  5.349  3.913
       1154  8  -7.6  0.425  5.418  3.771
       1154  8  -7.5  0.541  5.330  3.449
       1154  8  -7.1  0.420  5.124  3.487
       1154  8  -9.6  0.445  6.137  4.449
       1154  8  -6.4  0.201  4.859  3.658
       1154  8  -8.5  0.379  5.692  4.137
       1154  8  -9.4  0.483  6.022  4.258
       1154  8  -6.5  0.077  4.898  3.946
       1154  8  -8.3  0.435  5.598  3.930
       1154  8  -9.0  0.404  6.015  4.408
       1154  8  -6.7  0.368  5.017  3.482
       1154  8  -7.8  0.306  5.442  4.032
       1154  8  -7.4  0.302  5.283  3.879
       1154  8  -6.4  0.493  4.820  3.036
       1154  8  -6.0  0.454  4.850  3.143
       1154  8  -8.8  0.327  5.973  4.521
       1154  8  -8.7  0.318  5.768  4.334
       1154  8  -9.4  0.130  6.170  5.111
       1154  8  -6.5  0.333  4.900  3.436
       1154  8  -6.6  0.637  5.061  2.988
       1154  8  -7.0  0.298  5.022  3.628
       1154  8  -8.0  0.359  5.565  4.048
       1154  8  -7.3  0.104  5.411  4.405
       1154  8  -6.7  0.498  5.017  3.223
       1154  8  -8.6  0.874  6.089  3.543
       1154  8  -7.1  0.184  5.097  3.932
       1154  8 -10.1  0.375  6.459  4.911
       1154  8  -6.8  0.330  5.075  3.617
       1154  8  -8.8  0.317  5.964  4.532
       1154  8  -6.3  0.500  4.786  2.988
       1154  8  -7.7  0.094  5.443  4.457
       1154  8  -8.7  0.436  6.146  4.475
       1154  8  -6.6  0.409  5.122  3.506
       1154  8  -7.4  0.556  5.224  3.313
       1154  8  -6.3  0.534  5.095  3.229
       1154  8  -6.6  0.695  5.036  2.847
       1154  8  -6.4  0.483  4.866  3.101
       1154  8  -8.2  0.302  5.593  4.192
       1154  8  -7.9  0.784  5.543  3.176
       1154  8  -7.5  0.429  5.256  3.600
       1154  8  -8.7  0.469  5.846  4.110
       1154  8  -6.2  0.498  5.146  3.352
       1154  8  -7.5  0.222  5.275  4.033
       1154  8  -9.0  0.420  5.835  4.196
       1154  8  -6.9  0.366  5.061  3.531
       1154  8  -7.0  0.502  5.405  3.602
       1154  8  -7.9  0.422  5.396  3.754
       1154  8  -6.5  0.215  5.059  3.830
       1154  8  -7.7  0.340  5.353  3.875
       1154  8  -8.2  0.442  5.701  4.019
       1154  8  -7.5  0.498  5.348  3.553
       1154  8  -7.7  0.403  5.343  3.738
       1154  8  -7.5  0.371  5.361  3.821
       1154  8  -6.7  0.493  5.165  3.380
       1154  8  -7.0  0.313  5.078  3.654
       1154  8  -8.1  0.512  5.516  3.694
       1154  8  -7.2  0.458  5.281  3.567
       1154  8  -5.9  0.437  4.655  2.982
       1154  8  -7.7  0.085  5.538  4.568
       1154  8  -7.9  0.481  5.582  3.821
       1154  8  -7.8  0.360  5.451  3.933
       1154  8  -7.8  0.246  5.460  4.169
       1154  8  -7.8  0.421  5.593  3.951
       1154  8  -8.8  0.260  5.895  4.577
       1154  8  -5.9  0.247  4.575  3.282
       1154  8  -7.2  0.285  5.161  3.793
       1154  8  -8.0  0.334  5.461  3.995
       1154  8  -6.7  0.641  5.330  3.250
       1154  8  -8.9  0.502  5.907  4.105
       1154  8  -5.5  0.533  4.588  2.725
       1154  8  -9.0  0.477  5.894  4.142
       1154  8  -6.9  0.419  5.003  3.367
       1154  8  -7.8  0.472  5.430  3.687
       1154  8  -9.0  0.407  5.851  4.238
       1154  8  -6.2  0.373  4.730  3.186
       1154  8  -7.0  0.557  5.188  3.275
       1154  8  -7.6  0.386  5.316  3.746
       1154  8  -5.8  0.429  4.557  2.902
       1154  8  -7.2  0.666  5.354  3.224
       1154  8  -5.2  0.425  4.513  2.864
       1154  8  -7.4  0.452  5.408  3.706
       1154  8  -6.3  0.333  4.855  3.390
       1154  8  -9.0  0.430  5.888  4.230
       1154  8  -7.5  0.436  5.237  3.566
       1154  8  -6.3  0.284  5.205  3.839
       1154  8  -7.3  0.480  5.257  3.498
       1154  8  -9.1  0.314  5.943  4.518
       1154  8  -8.4  0.567  5.612  3.680
       1154  8  -7.8  0.387  5.405  3.833
       1154  8  -7.2  0.767  5.177  2.844
       1154  8  -8.7  0.393  5.762  4.178
       1154  8  -8.0  0.403  5.474  3.869
       1154  8  -8.6  0.300  5.760  4.362
       1154  8  -9.3  0.460  5.965  4.247
       1154  8  -6.7  0.528  5.293  3.439
       1154  8  -8.2  0.535  5.567  3.699
       1154  8  -7.3  0.242  5.201  3.919
       1154  8  -6.7  0.231  4.948  3.688
       1154  8  -8.1  0.442  5.521  3.839
       1154  8  -9.5  0.632  6.044  3.982
       1154  8  -7.0  0.227  5.152  3.900
       1154  8  -7.4  0.292  5.235  3.853
       1154  8  -7.2  0.414  5.136  3.510
       1154  8  -8.8  0.463  6.111  4.387
       1154  8  -8.5  0.442  5.786  4.103
       1154  8  -6.3  0.383  4.988  3.424
       1154  8  -7.6  0.308  5.350  3.935
       1154  8  -6.7  0.588  5.329  3.354
       1154  8  -7.8  0.329  5.453  3.997
       1154  8  -8.3  0.381  5.591  4.030
       1154  8  -7.8  0.291  5.493  4.113
       1154  8  -7.3  0.309  5.209  3.792
       1154  8  -8.5  0.526  5.659  3.808
       1154  8  -7.4  0.811  5.630  3.210
       1154  8  -6.8  0.439  5.007  3.331
       1154  8  -6.6  0.477  4.848  3.097
       1154  8  -7.7  0.332  5.383  3.921
       1154  8  -6.8  0.504  5.220  3.415
       1154  8  -6.3  0.445  4.771  3.082
       1154  8  -7.4  0.381  5.218  3.658
       1154  8  -7.2  0.459  5.201  3.485
       1154  8  -7.3  0.394  5.440  3.853
       1154  8  -7.3  0.589  5.540  3.564
       1154  8  -6.5  0.379  5.066  3.510
       1154  8  -7.1  0.596  5.168  3.177
       1154  8  -8.9  0.522  6.046  4.205
       1154  8  -7.5  0.529  5.370  3.514
       1154  8  -8.6  0.468  5.696  3.962
       1154  8  -8.6  0.501  5.720  3.920
       1154  8  -7.8  0.281  5.700  4.339
       1154  8  -8.9  0.523  6.135  4.292
       1154  8  -6.9  0.606  4.999  2.988
       1154  8  -8.0  0.508  5.527  3.712
       1154  8  -8.2  0.324  5.513  4.068
       1154  8  -6.4  0.423  4.841  3.198
       1154  8  -7.5  0.441  5.500  3.820
       1154  8  -8.5  0.395  5.678  4.090
       1154  8  -7.5  0.276  5.255  3.906
       1154  8  -6.4  0.719  5.278  3.041
       1154  8  -5.3  0.277  4.697  3.346
       1154  8  -8.3  0.391  5.793  4.212
       1154  8  -6.8  0.184  5.063  3.898
       1154  8  -8.7  0.277  5.798  4.447
       1154  8  -7.5  0.226  5.582  4.332
       1154  8  -6.9  0.248  5.289  3.995
       1154  8  -7.8  0.348  5.400  3.905
       1154  8  -6.5  0.413  4.853  3.229
       1154  8  -6.4  0.170  4.910  3.772
       1154  8  -8.0  0.376  5.537  3.986
       1154  8  -9.2  0.720  6.170  3.933
       1154  8  -7.8  0.310  5.529  4.110
       1154  8  -6.6  0.168  4.886  3.751
       1154  8  -7.0  0.638  5.122  3.047
       1154  8  -6.3  0.594  4.857  2.872
       1154  8  -7.4  0.375  5.504  3.956
       1154  8  -8.1  0.663  5.519  3.394
       1154  8  -7.4  0.240  5.379  4.101
       1154  8  -5.6  0.440  4.458  2.779
       1154  8  -7.7  0.245  5.415  4.127
       1154  8  -7.3  0.724  5.513  3.266
       1154  8  -8.0  0.401  5.540  3.940
       1154  8  -7.4  0.289  5.243  3.867
       1154  8  -9.4  0.355  6.255  4.746
       1154  8  -6.5 -0.008  5.250  4.468
       1154  8  -7.6  0.703  5.304  3.100
       1154  8  -7.3  0.423  5.176  3.532
       1154  8  -9.4  0.499  6.000  4.204
       1154  8  -7.4  0.260  5.243  3.926
       1154  8  -5.5  0.427  4.430  2.778
       1154  8  -9.6  0.475  6.096  4.348
       1154  8  -7.2  0.446  5.150  3.459
       1154  8  -7.6  0.703  5.523  3.319
       1154  8  -9.1  0.563  5.880  3.956
       1154  8  -7.2  0.697  5.259  3.067
       1154  8  -7.2  0.478  5.120  3.365
       1154  8  -5.7  0.232  4.959  3.697
       1154  8  -6.9  0.553  5.034  3.130
       1154  8  -7.4  0.220  5.390  4.152
       1154  8  -6.3  0.283  4.882  3.518
       1154  8  -6.9  0.556  5.059  3.148
       1062  8  -8.3  0.532  5.543  3.681
       1062  8  -8.6  0.598  5.854  3.860
       1062  8  -9.6  0.423  6.227  4.582
       1062  8  -7.3  0.154  5.583  4.477
       1062  8  -8.3  0.337  5.779  4.306
       1062  8  -8.4  0.521  5.795  3.955
       1062  8  -7.4  0.476  5.527  3.777
       1062  8  -8.4  0.310  5.608  4.190
       1062  8  -8.6  0.222  5.836  4.594
       1062  8  -7.9  0.425  5.655  4.006
       1062  8  -8.7  0.271  5.803  4.462
       1062  8  -8.8  0.311  5.870  4.450
       1062  8  -7.4  0.516  5.209  3.378
       1062  8  -6.4  0.232  5.179  3.917
       1062  8  -9.0  0.445  5.852  4.164
       1062  8  -8.4  0.187  5.967  4.795
       1062  8  -7.4  0.350  5.231  3.733
       1062  8  -6.6  0.306  4.964  3.554
       1062  8  -7.7  0.700  5.706  3.507
       1062  8  -7.6  0.345  5.384  3.897
       1062  8  -7.2  0.429  5.150  3.494
       1062  8 -10.2  0.528  6.411  4.557
       1062  8  -7.0  0.565  5.103  3.174
       1062  8  -8.8  0.655  6.079  3.971
       1062  8  -8.5  0.346  5.826  4.336
       1062  8  -6.3  0.446  5.222  3.532
       1062  8  -6.1  0.672  5.084  2.942
       1062  8  -9.1  0.557  5.921  4.010
       1062  8  -8.7  0.446  5.757  4.066
       1062  8  -6.3  0.175  4.803  3.654
       1062  8  -7.7  0.495  5.626  3.838
       1062  8 -10.4  0.514  6.431  4.604
       1062  8  -8.5  0.557  6.000  4.088
       1062  8  -7.9  0.362  5.478  3.957
       1062  8  -7.0  0.154  5.080  3.974
       1062  8  -6.3  0.333  4.814  3.351
       1062  8  -7.5  0.501  5.350  3.549
       1062  8  -7.6  0.443  5.601  3.917
       1062  8  -9.3  0.342  6.200  4.718
       1062  8  -8.9  0.149  5.829  4.733
       1062  8  -6.7  0.783  5.368  3.003
       1062  8  -8.5  0.348  5.693  4.199
       1062  8  -8.2  0.534  5.861  3.996
       1062  8  -7.2  0.091  5.145  4.165
       1062  8  -6.1  0.479  4.974  3.218
       1062  8  -6.6  0.388  5.053  3.479
       1062  8  -7.4  0.453  5.533  3.829
       1062  8  -7.4  0.580  5.315  3.356
       1062  8  -7.8  0.633  5.725  3.661
       1062  8  -9.5  0.361  6.137  4.618
       1062  8  -7.5  0.308  5.259  3.846
       1062  8  -7.6  0.500  5.428  3.631
       1062  8  -7.9  0.288  5.683  4.308
       1062  8  -7.2  0.381  5.278  3.717
       1062  8  -9.0  0.187  5.929  4.757
       1062  8  -9.0  0.459  5.914  4.199
       1062  8  -8.3  0.438  5.748  4.073
       1062  8  -7.1  0.638  5.175  3.101
       1062  8  -8.9  0.484  6.069  4.302
       1062  8  -8.1  0.362  5.860  4.337
       1062  8  -7.2  0.548  5.163  3.269
       1062  8  -8.2  0.535  5.581  3.713
       1062  8  -9.1  0.481  5.924  4.164
       1062  8  -8.0  0.438  5.773  4.099
       1062  8 -10.1  0.559  6.341  4.425
       1062  8  -8.7  0.188  6.060  4.886
       1062  8  -7.0  0.551  5.271  3.371
       1062  8  -7.2  0.550  5.367  3.469
       1062  8  -8.1  0.348  5.710  4.217
       1062  8  -7.2  0.376  5.123  3.574
       1062  8  -8.0  0.612  5.492  3.470
       1062  8  -8.0  0.511  5.633  3.813
       1062  8  -8.4  0.416  5.652  4.022
       1062  8  -9.7  0.698  6.156  3.961
       1062  8  -6.0  0.521  4.635  2.795
       1062  8  -7.4  0.423  5.516  3.872
       1062  8  -6.7  0.335  5.127  3.658
       1062  8  -8.0  0.289  5.645  4.269
       1062  8  -7.9  0.465  5.535  3.806
       1062  8  -6.7  0.469  4.950  3.213
       1062  8  -9.3  0.689  6.379  4.203
       1062  8  -8.5  0.470  5.911  4.172
       1062  8  -7.9  0.268  5.524  4.190
       1062  8  -7.5  0.565  5.462  3.533
       1062  8 -10.5  0.842  6.504  4.023
       1062  8 -10.1  0.461  6.308  4.589
       1062  8  -6.7  0.350  5.120  3.622
       1062  8  -7.8  0.577  5.619  3.667
       1062  8  -7.8  0.427  5.374  3.722
       1062  8  -9.5  0.739  6.068  3.791
       1062  8  -8.7  0.401  5.850  4.251
       1062  8  -7.8  0.519  5.586  3.750
       1062  8  -7.8  0.352  5.612  4.111
       1062  8 -10.2  0.475  6.469  4.721
       1062  8  -5.7  0.317  4.800  3.368
       1062  8  -6.1  0.504  5.121  3.315
       1062  8  -8.1  0.684  5.501  3.335
       1062  8  -5.4  0.496  4.398  2.608
       1062  8  -6.0  0.561  4.643  2.724
       1062  8  -7.4  0.407  5.273  3.660
       1062  8  -6.7  0.448  5.123  3.428
       1062  8  -7.3  0.381  5.476  3.915
       1062  8  -6.5  0.512  4.877  3.054
       1062  8 -10.9  0.439  6.717  5.041
       1062  8  -8.1  0.551  5.497  3.596
       1062  8  -6.7  0.453  5.336  3.631
       1062  8  -8.9  0.516  5.816  3.986
       1062  8  -7.6  0.720  5.361  3.123
       1062  8  -7.1  0.555  5.222  3.314
       1062  8  -8.5  0.583  5.662  3.698
       1062  8  -8.0  0.535  5.545  3.677
       1062  8  -7.1  0.450  5.133  3.435
       1062  8  -8.8  0.533  5.823  3.960
       1062  8  -6.5  0.563  4.861  2.938
       1062  8  -8.0  0.189  5.661  4.484
       1062  8  -7.1  0.332  5.172  3.710
       1062  8  -6.6  0.742  5.316  3.034
       1062  8  -6.4  0.515  4.840  3.011
       1062  8  -7.5  0.580  5.341  3.383
       1062  8  -5.4  0.387  4.498  2.925
       1062  8  -6.8  0.697  5.067  2.875
       1062  8  -7.3  0.391  5.222  3.642
       1062  8  -6.9  0.364  5.059  3.533
       1062  8  -9.4  0.484  6.031  4.265
       1062  8  -9.1  0.919  6.220  3.583
       1062  8  -7.1  0.499  5.213  3.418
       1062  8  -8.7  0.650  5.743  3.644
       1062  8  -6.0  0.565  5.054  3.125
       1062  8  -5.8  0.397  4.541  2.949
       1062  8  -7.1  0.557  5.347  3.434
       1062  8  -7.4  0.458  5.280  3.566
       1062  8  -7.3  0.410  5.235  3.617
       1062  8  -8.7  0.337  6.139  4.666
       1062  8  -7.1  0.271  5.239  3.898
       1062  8  -8.3  0.559  5.575  3.660
       1062  8  -6.1  0.627  5.137  3.086
       1062  8  -8.5  0.381  5.662  4.102
       1062  8  -9.5  0.438  6.054  4.381
       1062  8 -11.2  0.581  6.745  4.785
       1062  8  -7.8  0.502  5.421  3.618
       1062  8  -8.7  0.403  5.747  4.142
       1062  8  -9.6  0.854  6.078  3.571
       1062  8  -8.2  0.505  5.599  3.792
       1062  8  -6.7  0.638  4.884  2.810
       1062  8  -5.8  0.636  5.020  2.950
       1062  8  -7.6  0.441  5.316  3.636
       1062  8  -8.9  0.478  6.144  4.390
       1062  8  -5.3  0.552  4.730  2.829
       1062  8  -5.9  0.362  4.713  3.190
       1062  8  -9.7  0.426  6.143  4.493
       1062  8  -7.8  0.493  5.467  3.683
       1062  8  -7.7  0.670  5.327  3.188
       1062  8  -7.7  0.425  5.564  3.915
       1062  8  -8.0  0.447  5.444  3.752
       1062  8  -7.7  0.383  5.327  3.763
       1062  8  -8.2  0.394  5.586  4.001
       1062  8  -5.2  0.318  4.407  2.973
       1062  8  -8.6  0.373  5.917  4.373
       1062  8  -8.1  0.494  5.718  3.933
       1062  8  -7.9  0.619  5.407  3.370
       1062  8  -7.4  0.352  5.253  3.752
       1062  8  -8.8  0.609  5.812  3.796
       1062  8  -6.2  0.526  5.010  3.160
       1062  8  -9.1  0.528  5.945  4.090
       1062  8  -5.4  0.506  4.438  2.627
       1062  8  -6.9  0.464  5.155  3.429
       1062  8  -8.4  0.427  5.648  3.995
       1062  8  -9.0  0.502  5.928  4.125
       1062  8  -7.9  0.420  5.402  3.763
       1062  8  -5.4  0.391  4.476  2.895
       1062  8  -7.0  0.620  5.132  3.093
       1062  8  -7.3  0.688  5.144  2.969
       1062  8  -6.5  0.572  4.857  2.915
       1062  8  -8.1  0.747  5.663  3.371
       1062  8  -5.4  0.570  4.570  2.631
       1062  8  -7.8  0.608  5.375  3.361
       1062  8  -7.9  0.540  5.419  3.541
       1062  8  -6.4  0.624  4.936  2.889
       1062  8  -8.4  0.643  5.895  3.810
       2092  8  -8.3  0.531  5.635  3.775
       2092  8  -8.8  0.314  5.884  4.457
       2092  8  -7.3  0.188  5.425  4.251
       2092  8  -7.8  0.273  5.551  4.207
       2092  8  -6.8  0.261  5.330  4.011
       2092  8  -7.2  0.324  5.154  3.707
       2092  8  -7.4  0.565  5.440  3.510
